,comment,label
0,Dù cho tất cả thế giới có quay lưng với em anh vẫn sẽ đứng về phía họ,Enjoyment
1,thằng bạn t bị câm từ nhỏ nghe xong bài này nó tự dưng biết chửi,Disgust
2,Có ai từ Mv Răng khôn qua đây ko,Enjoyment
3,"Cơm sườn hay bún mắm
Anh mún ăn cơm sườn hay bún mắm
Cơm sườn 30k bún mắm thì 40k,40k có ăn ko
Tác giả: Ngô Đình Nam",Enjoyment
4,Tự nhiên t thấy yêu Chi Pu ghê =))))),Enjoyment
5,Có ai từ Schannel qua đây không nhỉ,Other
6,Ai từ Răng Khôn qua đây k 😂,Enjoyment
7,1:50 marshmello order từ  shopee =)))),Enjoyment
8,From Sena with love <3,Enjoyment
9,"Cháu k-icm chắc luôn ,chắc muốn phá kỉ lục đây mà😁😄",Enjoyment
10,Từ Viruss qua đây.,Enjoyment
11,thật sự tức:V đag làm bài ktra toán giữa kì mà đoạn điệp khúc cứ ám ảnh mình:V,Enjoyment
12,"YT ơi, bọn tôi cần nút phẫn nộ =D",Other
13,Tui từ 'Răng khôn' qua đây và thấy chị tiến bộ rõ thật sự,Enjoyment
14,"Thảm họa vpop lần thứ 3 :(
Sau cánh bướm dối gian và nói dối :v
Ai mất dậy và nói dối nghe 3 bài đó 3000 lần :)))",Other
15,"Nhà văn Nam Cao đã từng viết: “ Sự cẩu thả trong bất kì nghề nào cũng là sự bất lương, mà sự cẩu thả trong văn học nghệ thuật không chỉ là sự bất lương mà nó còn là một sự đê tiện.”",Other
16,"Thấy nhiều người chê nên tui qua đây nghe, nghe xong thì tôi biết tại sao rồi",Other
17,""" lòng trung thủy của người đàn ông đôi khi thật là mong manh, như là CÁI KHÓA KÉO QUẦN của anh ta phải không?""
nghe thúi :)",Other
18,3 đời chữa trị được bệnh liệt chân của một số người:v,Enjoyment
19,"Thảm hoạ âm nhạc lịch sử Việt Nam 
👇🏻👇🏻",Enjoyment
20,Tuii từ chong Trần Đức Bo qua đâyyy:)),Enjoyment
21,3:18 là vũ đạo của Wannabe Itzy :)),Surprise
22,"Ngày xưa xem the face thích cô này nhất mà nghe xong bài này ...chắc nghỉ, khỏe",Enjoyment
23,Nhưng không thể phủ nhận là cái giai điệu đb này cứ quanh quẩn trong đầu bạn cả ngày :),Disgust
24,"Thằng bạn tao bị liệt 8 năm lần đầu phải đứng dậy bật bài khác , Xin Cảm Ơn !",Sadness
25,Rin9 on the mic kkk chịuuu,Enjoyment
26,"Thề luôn là nhìn giống chipu thật ý , mới nhìn cứ tưởng 😂",Enjoyment
27,"Tất cả đều rất ổn cho đến phần rap, điệp khúc và đoạn kết :>>>",Enjoyment
28,mới đầu nhìn lướt cái thumbnail còn tưởng JYP lại ra video vũ đạo gì mới của ICY cho ITZY cơ liền nhanh tay bấm vào và cuối cùng là một cú lừa :)))))))),Disgust
29,Làm thêm bài mới “Nghe nhạc ai đừng nghe nhạc em” đảm bảo hit :)),Disgust
30,"Rin9 on the mic : ""Hahahahehehehihiho"" Đỉnh cao thật sự",Other
31,Mọi người qua Vũ Cát Tường của tui để rửa tai nha :))),Enjoyment
32,"Hay đó em ơi
Mấy mv Hàn lời bài hát chả thế mà đòi hỏi:)))",Enjoyment
33,1:50 marshmello phiên bản lỗi :)))),Enjoyment
34,"Mình thật sự rất thích PPA, ngay từ những tập The Face đầu tiên và luôn theo dõi PPA đến tận bây giờ, luôn trầm trồ trước khả năng cân đồ và thần thái của PPA. Không hiểu sao PPA đang được lòng mọi người mảng thời trang như vậy mà phải bất chấp, thậm chí đánh đổi ấn tượng tốt đó để nổi tiếng. Quá thất vọng về PPA.",Sadness
35,Limkim :))),Other
36,Kk cuối cùng cx bít vì sao bài này trên 5tr view r họ vô chủ yếu bình luận vs coi bình luận ko hà,Enjoyment
37,bài hát trí tuệ vl e ôi :)),Enjoyment
38,Ra bài Nghe nhạc ai đừng nghe nhạc em nữa là hợp lý luôn chị gái à :)),Surprise
39,T đang nghe gì thế này,Anger
